unit_type,unit_name,combustion_unit_category,tech_scenario,scenario_rank,capex_formula,efficiency,
PRH (Process Heater),R-1,specific (incl),baseline,best,C = 20150*(S/42.6)^0.6732,75%,
PRH (Process Heater),R-1,specific (incl),baseline,worst,C = 26000*(S/42.6)^0.6732,70%,
PRH (Process Heater),R-1,specific (incl),eb,best,C = 60000*(S/1572.7)^0.6476,90%,
PRH (Process Heater),R-1,specific (incl),eb,worst,C = 85000*(S/1572.7)^0.6476,85%,
PRH (Process Heater),R-1,specific (incl),hp,best,C = 60000*(S/1572.7)^0.6476,90%,
PRH (Process Heater),R-1,specific (incl),hp,worst,C = 85000*(S/1572.7)^0.6476,85%,
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),baseline,best,C = 20150*(S/42.6)^0.6732,75%,
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),baseline,worst,C = 26000*(S/42.6)^0.6732,70%,
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),eb,best,C = 60000*(S/1572.7)^0.6476,90%,
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),eb,worst,C = 85000*(S/1572.7)^0.6476,85%,
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),hp,best,C = 60000*(S/1572.7)^0.6476,90%,
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),hp,worst,C = 85000*(S/1572.7)^0.6476,85%,
PRH (Process Heater),Startup Heater,specific (incl),baseline,best,C = 20150*(S/42.6)^0.6732,75%,
PRH (Process Heater),Startup Heater,specific (incl),baseline,worst,C = 26000*(S/42.6)^0.6732,70%,
PRH (Process Heater),Startup Heater,specific (incl),eb,best,C = 60000*(S/1572.7)^0.6476,90%,
PRH (Process Heater),Startup Heater,specific (incl),eb,worst,C = 85000*(S/1572.7)^0.6476,85%,
PRH (Process Heater),Startup Heater,specific (incl),hp,best,C = 60000*(S/1572.7)^0.6476,90%,
PRH (Process Heater),Startup Heater,specific (incl),hp,worst,C = 85000*(S/1572.7)^0.6476,85%,
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),baseline,best,C = 20150*(S/42.6)^0.6732,75%,
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),baseline,worst,C = 26000*(S/42.6)^0.6732,70%,
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),eb,best,Too high temperature for electrification,Too high temperature for electrification,
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),eb,worst,Too high temperature for electrification,Too high temperature for electrification,
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),hp,best,Too high temperature for electrification,Too high temperature for electrification,
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),hp,worst,Too high temperature for electrification,Too high temperature for electrification,
