facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,r,t,elec_price,ng_price,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
1003135,Scenario3,1542281.6535769412,320474109.8341696,1215003.392385978,carbon green bioenergy,MI,"['Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",325193,Ethyl Alcohol Manufacturing,26015,RFCM,42.76601,-85.07428,Chemicals,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1003135,Scenario4,26038521.42402628,176191211.24645916,1215003.392385978,carbon green bioenergy,MI,"['Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",325193,Ethyl Alcohol Manufacturing,26015,RFCM,42.76601,-85.07428,Chemicals,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1003320,Baseline,618759.9263999301,0,4667144.234892589,billerud escanaba llc,MI,"['Bituminous', 'Natural Gas (Weighted U.S. Average)', 'Tires', 'Wood and Wood Residuals (dry basis)', nan, 'Propane']",322120,Paper Mills,26041,MROE,45.804799,-87.08978,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1003320,Scenario1,6582561.344803207,1367804954.764302,4667144.234892589,billerud escanaba llc,MI,"['Bituminous', 'Natural Gas (Weighted U.S. Average)', 'Tires', 'Wood and Wood Residuals (dry basis)', nan, 'Propane']",322120,Paper Mills,26041,MROE,45.804799,-87.08978,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1003320,Scenario2,111134152.57459958,1014576310.1640952,4667144.234892589,billerud escanaba llc,MI,"['Bituminous', 'Natural Gas (Weighted U.S. Average)', 'Tires', 'Wood and Wood Residuals (dry basis)', nan, 'Propane']",322120,Paper Mills,26041,MROE,45.804799,-87.08978,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1003320,Scenario3,5924305.210322886,1231024459.287872,4667144.234892589,billerud escanaba llc,MI,"['Bituminous', 'Natural Gas (Weighted U.S. Average)', 'Tires', 'Wood and Wood Residuals (dry basis)', nan, 'Propane']",322120,Paper Mills,26041,MROE,45.804799,-87.08978,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1003320,Scenario4,100020737.31713961,913118679.1476858,4667144.234892589,billerud escanaba llc,MI,"['Bituminous', 'Natural Gas (Weighted U.S. Average)', 'Tires', 'Wood and Wood Residuals (dry basis)', nan, 'Propane']",322120,Paper Mills,26041,MROE,45.804799,-87.08978,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1003422,Baseline,220076.9876883664,0,1348263.852242744,adkins energy llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17177,RFCW,42.3586,-89.80342,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1003422,Scenario1,1901597.4372544335,395137129.819103,1348263.852242744,adkins energy llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17177,RFCW,42.3586,-89.80342,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1003422,Scenario2,32104891.79780212,217239668.89962524,1348263.852242744,adkins energy llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17177,RFCW,42.3586,-89.80342,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1003422,Scenario3,1711437.6935289898,355623416.8371927,1348263.852242744,adkins energy llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17177,RFCW,42.3586,-89.80342,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1003422,Scenario4,28894402.61802191,195515702.00966275,1348263.852242744,adkins energy llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17177,RFCW,42.3586,-89.80342,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1004033,Baseline,163512.97000690742,0,943611.0064078402,incobrasa industries ltd,IL,['Natural Gas (Weighted U.S. Average)'],311224,Soybean and Other Oilseed Processing,17075,SRMW,40.762424,-88.014319,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1004033,Scenario1,1330873.2326876647,276545087.3117226,943611.0064078402,incobrasa industries ltd,IL,['Natural Gas (Weighted U.S. Average)'],311224,Soybean and Other Oilseed Processing,17075,SRMW,40.762424,-88.014319,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1004033,Scenario2,22469288.34407746,144516392.94060275,943611.0064078402,incobrasa industries ltd,IL,['Natural Gas (Weighted U.S. Average)'],311224,Soybean and Other Oilseed Processing,17075,SRMW,40.762424,-88.014319,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1004033,Scenario3,1197785.9094188982,248890578.5805503,943611.0064078402,incobrasa industries ltd,IL,['Natural Gas (Weighted U.S. Average)'],311224,Soybean and Other Oilseed Processing,17075,SRMW,40.762424,-88.014319,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
