facility_id,latitude,longitude,census_tract
1010674,38.31025,-86.983806,18037953200
1002846,30.7677,-91.27633,22125951803
1001071,43.53731,-89.10315,55021970100
1000442,32.836248,-92.37931,22111960100
1000040,42.424893,-96.514309,31043010400
1000891,36.850693,-120.644469,06019008402
1000903,37.11465,-120.94311,06047002100
1004886,31.74221,-81.406519,13179010600
1010356,34.5992,-102.7736,48369950200
1002113,31.969744,-87.480695,01131035100
1002082,38.28959,-98.19522,20159967300
1000353,34.387,-80.0663,45031010300
1003007,29.716059,-95.189998,48201324102
1006364,36.28305,-89.147607,47131965400
1002047,45.459444,-98.5325,46013951300
1011855,41.1494,-83.43295,39063000100
1003081,30.233028,-89.561667,28045030400
1007402,41.166846,-95.792068,19155031900
1003048,44.7024,-69.6472,23025966701
1006788,32.425,-86.8694,01047956101
1000961,37.894847,-86.685793,21091960100
1006776,33.9984,-95.1115,40089098400
1006120,28.7875,-95.943056,48321730502
1011980,40.404991,-86.904484,18157011100
1005738,32.15889,-93.55667,22031950300
1004705,46.429589,-116.973741,16069960300
1006022,45.050596,-91.980063,55033970200
1006988,44.95966,-93.19341,27123033200
1001803,35.77262,-79.82243,37151030400
1004528,37.807747,-85.687444,21179930600
1011725,40.218922,-93.121535,29211480300
1004708,41.408978,-88.210161,17197883306
1003377,37.905263,-87.722552,18129040400
1002861,36.01745,-83.20576,47029920200
1005020,44.100799,-94.275835,27013170900
1002284,44.454601,-89.540802,55097960701
1003320,45.804799,-87.08978,26041970400
1002213,41.21967,-96.06252,31055007409
1006672,43.80342,-98.10491,46035962600
1005998,45.582929,-122.407758,53011041400
1006919,38.209317,-85.847511,21111012701
1005864,32.9098,-115.5668,06025011001
1005374,41.27697,-89.31724,17155954600
1003304,39.55713,-82.94526,39129021700
1006865,46.908056,-98.623611,38093967000
1007917,31.580112,-87.490073,01099075700
1000311,35.2964,-84.7569,47107970802
1012857,44.556959,-87.764596,55061960402
1001069,34.59459,-98.50129,40031000403
1014521,42.545066,-114.411364,16083000600
1006104,38.68034,-121.75794,06113010800
1004765,43.433852,-97.260926,46125965100
1000409,42.3049,-85.5783,26077000202
1005517,37.0032,-121.53963,06085512602
1005075,34.60561,-86.96896,01103000100
1005513,42.383322,-76.864083,36097950400
1001154,42.739417,-111.541421,16029960200
1005940,48.062189,-100.924361,38049955900
1005207,33.567239,-101.83558,48303002500
1002152,34.20915,-119.14208000000001,06111004902
1006242,35.37745,-76.778816,37013930800
1007525,40.941948,-85.807883,18169102400
1006080,34.997921,-85.318581,47065001900
1003637,41.03082,-78.4298,42033331100
1003944,29.726493,-95.089772,48201343601
1002867,34.22132,-118.48044,06037127400
1002438,41.12723,-77.45586,42035030701
1011192,37.78571,-84.86787,21167960200
1000624,47.26384,-122.425332,53053060200
1000466,40.6776,-89.6069,17143005100
1002272,30.676393,-81.457934,12089050102
1001136,32.3102,-86.5242,01085780800
1005019,37.01433,-89.17734,17003957800
1003224,29.774444,-95.270833,48201212500
1000593,44.506335,-70.238607,23007971400
1005991,45.6391,-89.421,55085971400
1000232,36.5192,-82.535,47163040200
1005038,37.8181,-77.4375,51085320100
1003842,41.334533,-88.755775,17099962300
1002883,32.362972,-89.539806,28123020600
1006083,40.56492,-85.72772,18053010100
1002074,44.374508,-98.253288,46005956800
1000607,46.651744,-118.872717,53021020802
1001906,30.662356,-81.47105,12089050204
1003714,40.933056,-87.067222,18073101200
1006010,30.501722,-91.185833,22033003000
1007994,48.605458,-93.406703,27071790202
1003970,42.7363,-92.6174,19023070100
1001825,44.52666,-87.99876,55009000900
1002037,38.5961,-90.2128,29510124600
1000857,43.576024,-93.301823,27047180700
1002305,30.3387,-94.06635,48241950701
1002989,39.597501,-83.390444,39047925800
