facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,ng_dum,fuel_oils_dum,coal_dum,byproducts_dum,propane_dum,other_dum,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,elec_price,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst,pollutant_type,grid_emissions_kg_kwh,base_emissions,facility_emissions,base_lcoh
1000019,Scenario4,46397984.91468391,376023127.43757975,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,1.4923176800000002e-4,150.133,6.10665078515323,7.9466156343386425
1000019,Scenario4,46397984.91468391,376023127.43757975,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,1.0976926399999999e-5,129.701425,5.275597695454981,7.9466156343386425
1000034,Baseline,212761.42727486102,0,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.420276574784,108458.10000000002,108458.10000000002,6.925536072843753
1000034,Baseline,212761.42727486102,0,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,3.22503912e-4,229.9182759,229.9182759,6.925536072843753
1000034,Baseline,212761.42727486102,0,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,4.0641843200000003e-4,130.71827593,130.71827593,6.925536072843753
1000034,Baseline,212761.42727486102,0,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,2.9800994399999998e-5,25.45954679,25.45954679,6.925536072843753
1000034,Scenario1,1825924.6942655784,379412923.4837565,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.420276574784,108458.10000000002,1.455191522836685e-11,7.07702893016113
1000034,Scenario1,1825924.6942655784,379412923.4837565,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,3.22503912e-4,229.9182759,2.552605636862992e-14,7.07702893016113
1000034,Scenario1,1825924.6942655784,379412923.4837565,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,4.0641843200000003e-4,130.71827593,1.451264396767904e-14,7.07702893016113
1000034,Scenario1,1825924.6942655784,379412923.4837565,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,2.9800994399999998e-5,25.45954679,2.82657750427795e-15,7.07702893016113
