facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,ng_dum,biomass_dum,propane_dum,bituminous_dum,anthracite_dum,coalcoake_dum,distillate_dum,tires_dum,wood_dum,naics_code,county_fips,subregion,latitude,longitude,elec_price,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
1000183,Scenario4,86856310.83279215,792936764.4212453,4052868.847406907,pixelle specialty solutions llc,OH,"['Distillate Fuel Oil No. 2', 'Natural Gas (Weighted U.S. Average)', nan, 'Tires', 'Wood and Wood Residuals (dry basis)']",1,0,0,0,0,0,1,1,0,322120,39141,RFCW,39.3265,-82.9744,0.0716,7.73,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000196,Baseline,273986.8620332547,0,1754184.696569921,international paper - pensacola mill,FL,"[nan, 'Natural Gas (Weighted U.S. Average)', 'Subbituminous', 'Wood and Wood Residuals (dry basis)']",1,0,0,0,0,0,0,0,0,322130,12033,SRSO,30.60539,-87.322938,0.0852,4.67,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000196,Scenario1,2474110.0326316026,514100786.001372,1754184.696569921,international paper - pensacola mill,FL,"[nan, 'Natural Gas (Weighted U.S. Average)', 'Subbituminous', 'Wood and Wood Residuals (dry basis)']",1,0,0,0,0,0,0,0,0,322130,12033,SRSO,30.60539,-87.322938,0.0852,4.67,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000196,Scenario2,41770688.86261147,381336883.3742917,1754184.696569921,international paper - pensacola mill,FL,"[nan, 'Natural Gas (Weighted U.S. Average)', 'Subbituminous', 'Wood and Wood Residuals (dry basis)']",1,0,0,0,0,0,0,0,0,322130,12033,SRSO,30.60539,-87.322938,0.0852,4.67,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000196,Scenario3,2226699.0293684425,462690707.4012349,1754184.696569921,international paper - pensacola mill,FL,"[nan, 'Natural Gas (Weighted U.S. Average)', 'Subbituminous', 'Wood and Wood Residuals (dry basis)']",1,0,0,0,0,0,0,0,0,322130,12033,SRSO,30.60539,-87.322938,0.0852,4.67,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000196,Scenario4,37593619.97635033,343203195.03686255,1754184.696569921,international paper - pensacola mill,FL,"[nan, 'Natural Gas (Weighted U.S. Average)', 'Subbituminous', 'Wood and Wood Residuals (dry basis)']",1,0,0,0,0,0,0,0,0,322130,12033,SRSO,30.60539,-87.322938,0.0852,4.67,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000197,Baseline,175665.380609757,0,1028468.903128534,national beef packing co l.l.c.,KS,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,311611,20057,SPNO,37.748,-99.984806,0.0767,5.56,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000197,Scenario1,1450557.1941514777,301414481.9016057,1028468.903128534,national beef packing co l.l.c.,KS,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,311611,20057,SPNO,37.748,-99.984806,0.0767,5.56,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000197,Scenario2,24489926.654505465,180166356.98048416,1028468.903128534,national beef packing co l.l.c.,KS,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,311611,20057,SPNO,37.748,-99.984806,0.0767,5.56,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000197,Scenario3,1305501.47473633,271273033.7114452,1028468.903128534,national beef packing co l.l.c.,KS,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,311611,20057,SPNO,37.748,-99.984806,0.0767,5.56,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000197,Scenario4,22040933.989054915,162149721.28243577,1028468.903128534,national beef packing co l.l.c.,KS,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,311611,20057,SPNO,37.748,-99.984806,0.0767,5.56,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000228,Baseline,161964.6068122487,0,932888.0528935783,international paper - new bern mill,NC,"['Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2', nan]",1,0,0,0,0,0,1,0,0,322110,37049,SRVC,35.2081,-77.1242,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000228,Scenario1,1315749.5305364872,273402499.8517376,932888.0528935783,international paper - new bern mill,NC,"['Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2', nan]",1,0,0,0,0,0,1,0,0,322110,37049,SRVC,35.2081,-77.1242,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000228,Scenario2,22213953.11295368,202797700.4491949,932888.0528935783,international paper - new bern mill,NC,"['Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2', nan]",1,0,0,0,0,0,1,0,0,322110,37049,SRVC,35.2081,-77.1242,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000228,Scenario3,1184174.5774828386,246062249.8665639,932888.0528935783,international paper - new bern mill,NC,"['Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2', nan]",1,0,0,0,0,0,1,0,0,322110,37049,SRVC,35.2081,-77.1242,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
