"","state","policy_label","tech_clean","naics_description","mean_lcoh_delta","total_emissions","elec_to_ng_ratio_low","elec_to_ng_ratio_high"
"73","WI","Capex: -50%, Elec: -0%","Scenario2","Ethyl Alcohol Manufacturing",8.01289673210526,717025.064888555,4.13365248324973,5.00448307113784
"74","WI","Capex: -50%, Elec: -50%","Scenario2","Ethyl Alcohol Manufacturing",1.02057003401528,717025.064888555,4.13365248324973,5.00448307113784
"75","WI","No Policy","Scenario2","Ethyl Alcohol Manufacturing",8.92462869516569,717025.064888555,4.13365248324973,5.00448307113784
"76","WI","Capex: -0%, Elec: -50%","Scenario4","Ethyl Alcohol Manufacturing",1.00493058744976,645322.978399699,4.13365248324973,5.00448307113784
"77","WI","Capex: -100%, Elec: -0%","Scenario4","Ethyl Alcohol Manufacturing",5.65690708222196,645322.978399699,4.13365248324973,5.00448307113784
"78","WI","Capex: -50%, Elec: -0%","Scenario4","Ethyl Alcohol Manufacturing",6.47746584897635,645322.978399699,4.13365248324973,5.00448307113784
"79","WI","Capex: -50%, Elec: -50%","Scenario4","Ethyl Alcohol Manufacturing",0.184371820695372,645322.978399699,4.13365248324973,5.00448307113784
"80","WI","No Policy","Scenario4","Ethyl Alcohol Manufacturing",7.29802461573074,645322.978399699,4.13365248324973,5.00448307113784
"81","MI","Capex: -0%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",2.96662501589866,593383.113468314,3.34655398814285,3.43731477934888
"82","MI","Capex: -100%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",15.2390197570854,593383.113468314,3.34655398814285,3.43731477934888
"83","MI","Capex: -50%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",15.2930223425898,593383.113468314,3.34655398814285,3.43731477934888
"84","MI","Capex: -50%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",2.91262243039432,593383.113468314,3.34655398814285,3.43731477934888
"85","MI","No Policy","Scenario1","Ethyl Alcohol Manufacturing",15.3470249280941,593383.113468314,3.34655398814285,3.43731477934888
