"","facility_id","tech_scenario","clean_grid_co2e_emissions_mt","onsite_facility_co2e_emissions_mt","baseline_emissions","is_biogenic","diff_scen_baseline","diff_label"
"125",1000262,"eb_boiler",438673.421877216,941783.2825,2129599.74,TRUE,-749143.035622784,"-749,143.04"
"126",1000262,"eb_boiler_ee",204619.618433546,941783.2825,2129599.74,TRUE,-983196.839066455,"-983,196.84"
"127",1000262,"hp_boiler",215887.373178649,941783.2825,2129599.74,TRUE,-971929.084321351,"-971,929.08"
"128",1000262,"hp_boiler_ee",94298.144666975,941783.2825,2129599.74,TRUE,-1093518.31283303,"-1,093,518.31"
"129",1000273,"eb_boiler",333508.011651482,84326.036165454,341392.334877497,TRUE,76441.7129394389,"76,441.71"
"130",1000273,"eb_boiler_ee",155565.116748189,84326.036165454,341392.334877497,TRUE,-101501.181963854,"-101,501.18"
"131",1000273,"hp_boiler",168636.343219916,84326.036165454,341392.334877497,TRUE,-88429.9554921267,"-88,429.96"
"132",1000273,"hp_boiler_ee",73548.265652132,84326.036165454,341392.334877497,TRUE,-183518.033059911,"-183,518.03"
"133",1000276,"eb_boiler",49348.8150134376,0,39377.7,FALSE,9971.1150134376,"9,971.12"
"134",1000276,"eb_boiler_ee",42268.7471319947,0,39377.7,FALSE,2891.04713199472,"2,891.05"
"135",1000276,"hp_boiler",25856.9134716569,0,39377.7,FALSE,-13520.7865283431,"-13,520.79"
"136",1000276,"hp_boiler_ee",22603.8693844493,0,39377.7,FALSE,-16773.8306155507,"-16,773.83"
"137",1000297,"eb_boiler",646.746790101916,2518.4553962431,3030.6,FALSE,134.602186345021,"134.60"
"138",1000297,"eb_boiler_ee",553.958114734939,2518.4553962431,3030.6,FALSE,41.8135109780433,"41.81"
"139",1000297,"hp_boiler",645.432289068842,2518.4553962431,3030.6,FALSE,133.287685311946,"133.29"
"140",1000297,"hp_boiler_ee",564.230807153772,2518.4553962431,3030.6,FALSE,52.086203396876,"52.09"
"141",1000304,"eb_boiler",106257.232912849,1451.2,55863.5,TRUE,51844.9329128486,"51,844.93"
"142",1000304,"eb_boiler_ee",69437.3266778556,1451.2,55863.5,TRUE,15025.0266778556,"15,025.03"
"143",1000304,"hp_boiler",62974.6072906419,1451.2,55863.5,TRUE,8562.30729064195,"8,562.31"
"144",1000304,"hp_boiler_ee",41437.679667573,1451.2,55863.5,TRUE,-12974.620332427,"-12,974.62"
"145",1000305,"eb_boiler",232741.414283588,334432.76,799394.845,TRUE,-232220.670716412,"-232,220.67"
"146",1000305,"eb_boiler_ee",150224.035135334,334432.76,799394.845,TRUE,-314738.049864666,"-314,738.05"
"147",1000305,"hp_boiler",166014.881029366,334432.76,799394.845,TRUE,-298947.203970634,"-298,947.20"
"148",1000305,"hp_boiler_ee",113785.356413654,334432.76,799394.845,TRUE,-351176.728586346,"-351,176.73"
"149",1000311,"eb_boiler",65948.6109210554,0,34640.1,FALSE,31308.5109210554,"31,308.51"
