"","primary_naics","facility_id","reporting_year","facility_name","state","naics_title","sector","subregion","county_fips","tech_scenario","scenario_rank","non_elec_unit_ghg_emissions","non_elec_process_unit_heat_demand","non_elec_orig_process_unit_heat_demand","non_elec_orig_unit_ghg_emissions","non_elec_change_in_electricity_demand_kwh","elec_unit_ghg_emissions","elec_process_unit_heat_demand","elec_orig_process_unit_heat_demand","elec_orig_unit_ghg_emissions","elec_change_in_electricity_demand_kwh","change_in_electricity_demand_kwh","base_emissions","base_emissions_ee"
"72",311313,1001783,2023,"WESTERN SUGAR COOPERATIVE","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30111,"hp_boiler_ee","worst",115114.6,999465.444161889,999465.444161889,115114.6,0,115114.6,999465.444161889,999465.444161889,115114.6,0,0,230229.2,230229.2
"73",311313,1005119,2023,"SIDNEY SUGARS INCORPORATED","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30083,"eb_boiler","best",2690.9,36103.9287668539,36103.9287668539,2690.9,0,0,0,0,0,0,0,2690.9,2690.9
"74",311313,1005119,2023,"SIDNEY SUGARS INCORPORATED","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30083,"eb_boiler","worst",2690.9,36103.9287668539,36103.9287668539,2690.9,0,0,0,0,0,0,0,2690.9,2690.9
"75",311313,1005119,2023,"SIDNEY SUGARS INCORPORATED","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30083,"eb_boiler_ee","best",2690.9,36103.9287668539,36103.9287668539,2690.9,0,2690.9,36103.9287668539,36103.9287668539,2690.9,0,0,5381.8,5381.8
"76",311313,1005119,2023,"SIDNEY SUGARS INCORPORATED","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30083,"eb_boiler_ee","worst",2690.9,36103.9287668539,36103.9287668539,2690.9,0,2690.9,36103.9287668539,36103.9287668539,2690.9,0,0,5381.8,5381.8
"77",311313,1005119,2023,"SIDNEY SUGARS INCORPORATED","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30083,"hp_boiler","best",2690.9,36103.9287668539,36103.9287668539,2690.9,0,0,0,0,0,0,0,2690.9,2690.9
"78",311313,1005119,2023,"SIDNEY SUGARS INCORPORATED","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30083,"hp_boiler","worst",2690.9,36103.9287668539,36103.9287668539,2690.9,0,0,0,0,0,0,0,2690.9,2690.9
"79",311313,1005119,2023,"SIDNEY SUGARS INCORPORATED","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30083,"hp_boiler_ee","best",2690.9,36103.9287668539,36103.9287668539,2690.9,0,2690.9,36103.9287668539,36103.9287668539,2690.9,0,0,5381.8,5381.8
"80",311313,1005119,2023,"SIDNEY SUGARS INCORPORATED","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30083,"hp_boiler_ee","worst",2690.9,36103.9287668539,36103.9287668539,2690.9,0,2690.9,36103.9287668539,36103.9287668539,2690.9,0,0,5381.8,5381.8
"81",311313,1005707,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16027,"eb_boiler","best",188766.8,2779075.15325562,2779075.15325562,188766.8,0,0,0,0,0,0,0,188766.8,188766.8
"82",311313,1005707,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16027,"eb_boiler","worst",188766.8,2779075.15325562,2779075.15325562,188766.8,0,0,0,0,0,0,0,188766.8,188766.8
"83",311313,1005707,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16027,"eb_boiler_ee","best",188766.8,2779075.15325562,2779075.15325562,188766.8,0,188766.8,2779075.15325562,2779075.15325562,188766.8,0,0,377533.6,377533.6
"84",311313,1005707,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16027,"eb_boiler_ee","worst",188766.8,2779075.15325562,2779075.15325562,188766.8,0,188766.8,2779075.15325562,2779075.15325562,188766.8,0,0,377533.6,377533.6
"85",311313,1005707,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16027,"hp_boiler","best",188766.8,2779075.15325562,2779075.15325562,188766.8,0,0,0,0,0,0,0,188766.8,188766.8
"86",311313,1005707,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16027,"hp_boiler","worst",188766.8,2779075.15325562,2779075.15325562,188766.8,0,0,0,0,0,0,0,188766.8,188766.8
"87",311313,1005707,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16027,"hp_boiler_ee","best",188766.8,2779075.15325562,2779075.15325562,188766.8,0,188766.8,2779075.15325562,2779075.15325562,188766.8,0,0,377533.6,377533.6
"88",311313,1005707,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16027,"hp_boiler_ee","worst",188766.8,2779075.15325562,2779075.15325562,188766.8,0,188766.8,2779075.15325562,2779075.15325562,188766.8,0,0,377533.6,377533.6
"89",311313,1005712,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16083,"eb_boiler","best",188760.9,2791377.81917286,2791377.81917286,188760.9,0,0,0,0,0,0,0,188760.9,188760.9
"90",311313,1005712,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16083,"eb_boiler","worst",188760.9,2791377.81917286,2791377.81917286,188760.9,0,0,0,0,0,0,0,188760.9,188760.9
"91",311313,1005712,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16083,"eb_boiler_ee","best",188760.9,2791377.81917286,2791377.81917286,188760.9,0,188760.9,2791377.81917286,2791377.81917286,188760.9,0,0,377521.8,377521.8
"92",311313,1005712,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16083,"eb_boiler_ee","worst",188760.9,2791377.81917286,2791377.81917286,188760.9,0,188760.9,2791377.81917286,2791377.81917286,188760.9,0,0,377521.8,377521.8
"93",311313,1005712,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16083,"hp_boiler","best",188760.9,2791377.81917286,2791377.81917286,188760.9,0,0,0,0,0,0,0,188760.9,188760.9
"94",311313,1005712,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16083,"hp_boiler","worst",188760.9,2791377.81917286,2791377.81917286,188760.9,0,0,0,0,0,0,0,188760.9,188760.9
"95",311313,1005712,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16083,"hp_boiler_ee","best",188760.9,2791377.81917286,2791377.81917286,188760.9,0,188760.9,2791377.81917286,2791377.81917286,188760.9,0,0,377521.8,377521.8
"96",311313,1005712,2023,"AMALGAMATED SUGAR CO LLC","ID","Beet Sugar Manufacturing","Food & Beverage","NWPP",16083,"hp_boiler_ee","worst",188760.9,2791377.81917286,2791377.81917286,188760.9,0,188760.9,2791377.81917286,2791377.81917286,188760.9,0,0,377521.8,377521.8
"97",311313,1005864,2023,"HOLLY SUGAR CORP DBA SPRECKELS COMPANY","CA","Beet Sugar Manufacturing","Food & Beverage","AZNM",6025,"eb_boiler","best",56402.3,800889.031878161,800889.031878161,56402.3,0,0,0,0,0,0,0,56402.3,56402.3
