facility_id,nei_id,match_type,match_score
1004836,6771911,FRS Link,NA
1004836,6772711,FRS Link,NA
1004836,6785511,FRS Link,NA
1004836,8481911,FRS Link,NA
1004861,4166411,FRS Link,NA
1004861,8017711,FRS Link,NA
1004867,7227111,FRS Link,NA
1004867,13610611,FRS Link,NA
1004874,4193911,FRS Link,NA
1004880,5862111,FRS Link,NA
1004886,553111,FRS Link,NA
1004900,7915011,FRS Link,NA
1004901,3679111,FRS Link,NA
1004902,14690911,FRS Link,NA
1004956,10290111,FRS Link,NA
1004961,5501011,FRS Link,NA
1004962,751411,FRS Link,NA
1004982,9303311,FRS Link,NA
1004985,5504811,FRS Link,NA
1004987,2533211,FRS Link,NA
1005012,8215211,FRS Link,NA
1005019,3347011,FRS Link,NA
1005020,9511511,FRS Link,NA
1005037,5140811,FRS Link,NA
1005038,6310111,FRS Link,NA
1005050,8417511,FRS Link,NA
1005051,12710211,FRS Link,NA
1005053,7853711,FRS Link,NA
1005062,869411,FRS Link,NA
1005062,948911,FRS Link,NA
1005073,6257811,FRS Link,NA
1005075,869311,FRS Link,NA
1005095,4019411,FRS Link,NA
1005114,8020311,FRS Link,NA
1005115,5896511,FRS Link,NA
1005115,13715611,FRS Link,NA
1005119,7618411,FRS Link,NA
1005127,4982111,FRS Link,NA
1005128,884711,FRS Link,NA
1005149,7026511,FRS Link,NA
1005156,7214611,FRS Link,NA
1005170,10832911,FRS Link,NA
1005207,4016411,FRS Link,NA
1005217,16669211,FRS Link,NA
1005284,6926711,FRS Link,NA
1005306,12800111,FRS Link,NA
1005312,5706111,FRS Link,NA
1005353,15647811,FRS Link,NA
1005361,714911,FRS Link,NA
1005369,9418911,FRS Link,NA
1005374,10848111,FRS Link,NA
1005374,16554011,FRS Link,NA
1005374,21291111,FRS Link,NA
1005378,2425111,FRS Link,NA
1005382,16846311,FRS Link,NA
1005383,3112711,FRS Link,NA
1005422,6901611,FRS Link,NA
1005424,7938511,FRS Link,NA
1005425,8059911,FRS Link,NA
1005434,9617411,FRS Link,NA
1005465,7940111,FRS Link,NA
1005476,15084311,FRS Link,NA
1005479,8165811,FRS Link,NA
1005513,8176611,FRS Link,NA
1005517,759611,FRS Link,NA
1005520,7768411,FRS Link,NA
1005537,5832311,FRS Link,NA
1005564,7928911,FRS Link,NA
1005564,8465211,FRS Link,NA
1005564,7929111,FRS Link,NA
1005579,4182011,FRS Link,NA
1005586,15999611,FRS Link,NA
